ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
402667,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000089","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",607.289,,,"20191127"
402671,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000013","20110701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",626.724,,,"20191129"
402731,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000093","20170701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",630.616,,,"20191128"
402241,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000050","20190701",,"Partiellement fermée","Mobilier","Asphalté ou bétonnée",145.723,,,"20191126"
402243,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000083","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",146.1,,,"20191127"
402940,"Rosemont - La Petite-Patrie","RPP","F","RPP-F-1000029","20120701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",190.919,,,"20191206"
402941,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000061","20140701",20201028,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",191.409,"5",,"20201130"
400493,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000008","20180527",,"Ouverte","Mobilier","Asphalté ou bétonnée",1097.203,"19.65",,"20190718"
402404,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000084","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1098.775,,,"20191127"
402736,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000044","20130701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",644.731,,,"20191202"
400762,"Mercier - Hochelaga-Maisonneuve","MHM","T","MHM-T-1000004",,,"Ouverte",,,118.663,,,"20191111"
406680,"Sud-Ouest","SO","A","SO-A-1004003","20150701",,"Partiellement fermée","Mobilier et marquage au sol","Asphalté ou bétonnée",116.858,"2.98",,"20191104"
400296,"Ahuntsic - Cartierville","AC","I","AC-I-1000004","20200626",,"Ouverte","Plates-bandes, mobilier et marquage au sol","Asphalté ou bétonnée",1181.601,"26.8",,"20201118"
402300,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000106","20180701",,"Ouverte","Mobilier","Asphalté ou bétonnée",147.17,,,"20191129"
402304,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000070","20150701",,"Ouverte","Mobilier","Asphalté ou bétonnée",148.614,,,"20191206"
402307,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000080","20160701",,"Ouverte","Mobilier","Asphalté ou bétonnée",148.814,,,"20191127"
402741,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000027","20120701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",652.589,,,"20191206"
402469,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000083","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1138.95,,,"20191127"
402470,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000105","20180701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1141.453,,,"20191129"
400217,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000008","20180527",,"Ouverte","Mobilier","Asphalté ou bétonnée",102.366,"19.65",,"20190718"
400220,"Côte-Des-Neiges - Notre-Dame-de-Grâce","CDNNDG","T","CDNNDG-T-1000007","20180616",,"Ouverte","Mobilier","Asphalté ou bétonnée",105.971,"5.52",,"20190718"
402813,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000065","20150701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",679.346,,,"20191127"
402477,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000079","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1166.464,,,"20191127"
405992,"Verdun","VRD","H","VRD-H-1020172","20170603",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",141.867,,,"20201126"
400995,"Mercier - Hochelaga-Maisonneuve","MHM","H","MHM-H-1000007","20120701",20130701,"Ouverte","Mobilier","Asphalté ou bétonnée",121.157,"3.3",,"20191108"
405661,"Sud-Ouest","SO","H","SO-H-1004019","20200701",,"Fermée","Plates-bandes et mobilier","Végétalisée",119.579,"119",,"20201218"
406386,"Sud-Ouest","SO","A","SO-A-1004005","20140701",20150701,"Ouverte","Plates-bandes","Asphalté ou bétonnée",179.034,,,"20191104"
