no_demande,arrondissement,date_premiere_inspection,statut_demande,nb_logements_inspectes,nb_non_conformite,taux_correction,quartier_de_reference_num,quartier_de_reference_nom,x,y,longitude,latitude
3000185075,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299164.42289490293,5035702.259110948,-73.5720626373855,45.461226285033305
3000185077,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299164.42289490293,5035702.259110948,-73.5720626373855,45.461226285033305
3000185079,"Verdun","2010-04","Fermée",0,0,,"64","Verdun-Centre",299045.1670799087,5035808.757085942,-73.5735888177845,45.46218363359589
3000588522,"Verdun","2012-09","Fermée",0,0,,"64","Verdun-Centre",299214.55654491065,5035798.22603594,-73.5714226646857,45.46209024495439
3000588665,"Verdun","2014-03","Fermée",0,0,,"64","Verdun-Centre",299214.55654491065,5035798.22603594,-73.5714226646857,45.46209024495439
3000650265,"Verdun","2012-10","Fermée",0,1,,"64","Verdun-Centre",299214.55654491065,5035798.22603594,-73.5714226646857,45.46209024495439
3000776041,"Verdun","2014-06","Fermée",14,307,,"64","Verdun-Centre",299287.37299991277,5036927.035785925,-73.5705042021461,45.47224839553701
3000876082,"Verdun","2014-09","Fermée",2,84,,"64","Verdun-Centre",298561.7299998944,5036172.181785934,-73.57977528279062,45.4654497549875
3001130945,"Verdun","2016-04","Fermée",0,0,,"64","Verdun-Centre",299540.6539999098,5035579.268785942,-73.567250423735,45.460122491425686
3001201365,"Verdun","2016-09","Fermée",1,9,,"64","Verdun-Centre",299181.91599990637,5035283.376785954,-73.5718341652138,45.457457116547204
3001387665,"Verdun","2018-02","Fermée",1,21,,"64","Verdun-Centre",299660.4443999159,5036105.19188594,-73.5657241824809,45.46485589591631
3001404990,"Verdun","2018-03","Fermée",31,471,,"64","Verdun-Centre",299540.6539999098,5035579.268785942,-73.567250423735,45.460122491425686
3001474686,"Verdun","2019-01","Fermée",1,22,,"64","Verdun-Centre",299337.67607990914,5036374.697785932,-73.5698547074445,45.467278590463096
3001524748,"Verdun","2019-03","Fermée",0,0,,"64","Verdun-Centre",299845.94899992336,5035370.503785949,-73.563344563918,45.458246152391204
3001556974,"Verdun","2019-06","Fermée",1,21,,"64","Verdun-Centre",299874.2949999229,5035758.475785945,-73.5629860073506,45.4617375161064
3001843757,"Verdun","2020-08","Fermée",0,0,,"64","Verdun-Centre",299420.6386449148,5036369.4972609235,-73.5687936879063,45.46723243753149
3001857894,"Verdun","2020-10","Fermée",0,1,,"64","Verdun-Centre",299520.325999912,5035262.064785956,-73.567506948333,45.457267979754
3001978014,"Verdun","2020-05","Fermée",0,0,,"64","Verdun-Centre",299649.5819999123,5036261.810785926,-73.5658647309911,45.466265148511795
3002263014,"Verdun","2020-09","Fermée",6,39,,"64","Verdun-Centre",298545.51743989857,5035938.467735939,-73.5799796356756,45.4633465381882
3002285834,"Verdun","2020-09","Fermée",13,118,,"64","Verdun-Centre",299420.6386449148,5036369.4972609235,-73.5687936879063,45.46723243753149
3002694634,"Verdun","2021-03","Fermée",30,264,,"64","Verdun-Centre",299575.0192349143,5036110.60043593,-73.5668166486886,45.46490393089859
3003102544,"Verdun","2021-12","Fermée",0,0,,"64","Verdun-Centre",299661.6809999165,5036218.138785937,-73.5657095497253,45.465872255880306
3003118815,"Verdun","2022-01","Fermée",0,0,,"64","Verdun-Centre",299287.37299991277,5036927.035785925,-73.5705042021461,45.47224839553701
3003142277,"Verdun","2022-04","Fermée",7,35,,"64","Verdun-Centre",299337.67607990914,5036374.697785932,-73.5698547074445,45.467278590463096
3003200241,"Verdun","2022-08","Fermée",0,0,,"64","Verdun-Centre",299824.0949999158,5036243.979785932,-73.56363283946051,45.46610596158149
